Title,Speakers,Speaker Location,Affiliation,Identifier,Room,Date,Time,Sesstion,Theme
Invited Discussant,Gunhild Von Amsberg ,"Hamburg, Germany","Laboratory of Experimental Oncology, Department of Oncology, University Medical Center Hamburg-Eppendorf, Germany.",,Heidelberg Auditorium - Hall 6.2,10/17/2025,15:13 - 15:21,Mini Oral Session,"GU tumours, prostate, penile and testis"
MSI-H/dMMR CRC in Practice: Translating Clinical Advances Through Real-World Cases,Heinz Josef Lenz ,"Los Angeles, United States of America, CA","Division of Medical Oncology, Norris Comprehensive Cancer Center, Keck School of Medicine, University of Southern California, CA, USA.",,Bremen Auditorium - Hall 6.2,10/17/2025,10:15 - 11:45,Industry-Sponsored Symposium,"Focus on HCC, CRC and the Broader GI Landscape"
Audience Q&A,Heinz Josef Lenz ,"Los Angeles, United States of America, CA","Division of Medical Oncology, Norris Comprehensive Cancer Center, Keck School of Medicine, University of Southern California, CA, USA.",,Bremen Auditorium - Hall 6.2,10/17/2025,10:15 - 11:45,Industry-Sponsored Symposium,"Focus on HCC, CRC and the Broader GI Landscape"
"Phase 1 Global Study of Iza-Bren (BL-B01D1), an EGFR x HER3 Bispecific Antibody-drug Conjugate (ADC), in Patients with Metastatic or Unresectable Non-Small Cell Lung Cancer (NSCLC) and Other Solid Tumors",Helena A. Yu ,"New York, United States of America, NY","Department of Medicine, Memorial Sloan Kettering Cancer Center, NY, USA.",921MO,Heidelberg Auditorium - Hall 6.2,10/17/2025,16:00 - 16:05,Mini Oral Session,Developmental therapeutics
"Anti-PD-1-Antibody (Tislelizumab) Combined with Chidamide, Lenalidomide and Etoposide for the treatment of refractory/relapsed Extranodal Natural Killer/T Cell Lymphoma, Nasal Type (r/r-ENKTL): Preliminary Results from a Prospective, Multicenter, Single -Arm, Phase II Trial",Hui Yu ,"Zhengzhou, China","Department of Oncology, Affiliated Hospital of Jiangnan University, Wuxi, China.",1241O,Bochum Auditorium - Hall 6.1,10/17/2025,14:30 - 14:40,Proffered Paper,Haematological malignancies
Mechanisms of resistance,Iain McNeish ,"London, United Kingdom","Department of Surgery and Cancer, Imperial College London, Hammersmith Hospital, London, UK.",,Hamburg Auditorium - CityCube A,10/17/2025,16:00 - 16:15,Symposium,How to treat ovarian cancer patients post PARPi therapy?
Welcome and Introduction,Ian Chau ,"Sutton, United Kingdom","Department of medical oncology, Institute of Cancer Research, Sutton, SM2 5NG",,Bremen Auditorium - Hall 6.2,10/17/2025,10:15 - 11:45,Industry-Sponsored Symposium,"Focus on HCC, CRC and the Broader GI Landscape"
New Developments in GI Cancer: A Deep Dive into the BMS Therapeutic Pipeline and MOAs,Ian Chau ,"Sutton, United Kingdom","Department of medical oncology, Institute of Cancer Research, Sutton, SM2 5NG",,Bremen Auditorium - Hall 6.2,10/17/2025,10:15 - 11:45,Industry-Sponsored Symposium,"Focus on HCC, CRC and the Broader GI Landscape"
Summary and Close,Ian Chau ,"Sutton, United Kingdom","Department of medical oncology, Institute of Cancer Research, Sutton, SM2 5NG",,Bremen Auditorium - Hall 6.2,10/17/2025,10:15 - 11:45,Industry-Sponsored Symposium,"Focus on HCC, CRC and the Broader GI Landscape"
"SKYSCRAPER-07: A phase III, randomised study of atezolizumab (atezo) with or without tiragolumab (tira) in patients (pts) with unresectable esophageal squamous cell carcinoma (ESCC) that has not progressed following definitive concurrent chemoradiotherapy (dCRT)",Ian Chau ,"Sutton, United Kingdom","Department of medical oncology, Institute of Cancer Research, Sutton, SM2 5NG",2094O,Hamburg Auditorium - CityCube A,10/17/2025,14:10 - 14:20,Proffered Paper,"GI tumours, upper digestive"
Invited Discussant,Ignacio Garrido-Laguna ,"Salt Lake City, United States of America","Medical Oncology, Huntsman Cancer Institute Cancer Hospital, Utah, USA.",,Heidelberg Auditorium - Hall 6.2,10/17/2025,17:05 - 17:15,Mini Oral Session,Developmental therapeutics
Is there a role for immune check point inhibitors in ovarian cancer?,Ilaria Colombo ,"Bellinzona, Switzerland","Oncology Institute of Southern Switzerland, Bellinzona",,Koblenz Auditorium - Hall 5.2,10/17/2025,14:50 - 15:15,Educational Session,Front line management of ovarian cancer
Case Portraits: Clinical Insights on the Reach of Immunotherapy in Endometrial Cancer,Ilaria Colombo ,"Bellinzona, Switzerland","Oncology Institute of Southern Switzerland, Bellinzona",,Koblenz Auditorium - Hall 5.2,10/17/2025,10:15 - 11:45,Industry-Sponsored Symposium,Living Longer and Better
Why we need to move beyond ICB? Sensitivity and resistance to the available ICB options,Ines Pires da Silva ,"Wollstonecraft, Australia","Melanoma Institute Australia, Wollstonecraft, Australia.",,Bremen Auditorium - Hall 6.2,10/17/2025,14:00 - 14:15,Symposium,Emerging new treatment options beyond immune checkpoint blockade (ICB)
Immuno-imaging for immunotherapy,Inge Marie Svane ,"Herlev, Denmark","National Center for Cancer Immune Therapy, Department of Oncology, Copenhagen University Hospital, Herlev, Denmark.",,Karlsruhe Auditorium - Hall 5.2,10/17/2025,14:40 - 15:00,Educational Session,Systemic anti-tumour immunity in clinical outcomes
Patient-derived tumour organoids for guiding treatment decisions in locally advanced HNSCC,Ingeborg Tinhofer-Keilholz ,"Berlin, Germany","Department of Radiooncology and Radiotherapy, Charite University Hospital, Berlin, Germany.",,Bremen Auditorium - Hall 6.2,10/17/2025,16:00 - 16:20,Symposium,Refining strategies to boost immunotherapeutic effectiveness in HNSCC
Current use of AI in pathology,Inti Zlobec ,"Bern, Switzerland","Institute of Tissue Medicine and Pathology, University of Bern, Bern, Switzerland.",,Hanover Auditorium - Hall 7.2c,10/17/2025,14:15 - 14:30,Educational Session,"AI-based image biomarkers in oncology, radiology and pathology"
Rescuing Cancer Immunotherapy with Plasma Exchange in Melanoma (the ReCIPE-M1 study),Jacob Orme ,"Rochester, United States of America","Division of Hematology-Oncology, Mayo Clinic Rochester, Minnesota.",1518MO,Nuremberg Auditorium - Hall 5.2,10/17/2025,14:30 - 14:35,Mini Oral Session,Investigational immunotherapy
Introduction,Jalid Sehouli ,"Berlin, Germany","Department of Obstetrics, Charite University Hospital Berlin, Berlin, Germany.",,Karlsruhe Auditorium - Hall 5.2,10/17/2025,10:15 - 11:45,Industry-Sponsored Symposium,AbbVie - How to PROC - Breaking the Wall of Platinum-Resistance in Ovarian Cancer
Intermediate and poor prognosis testicular cancer: State-of-the-art treatment,Jan Oldenburg ,"Oslo, Norway","Department of Oncology, Akershus University Hospital, L⊘renskog, Norway, Medical Faculty, University of Oslo, Oslo, Norway.",,Bonn Auditorium - Hall 7.1c,10/17/2025,17:00 - 17:20,Educational Session,Updates in the management of penile and germ cell tumours
Biomarkers in tissue,Jan Von der Thusen ,"Rotterdam, Netherlands","Department of Pathology, Erasmus Medical Center, Rotterdam, the Netherlands.",,Bonn Auditorium - Hall 7.1c,10/17/2025,14:45 - 15:00,Symposium,Optimising the use of IO in the perioperative setting
Patient-level Analysis of Pneumonitis from Clinical Trials of Nivolumab-based Regimens in Solid Tumours,Jarushka Naidoo ,"Dublin, Ireland","Beaumont RCSI Cancer Centre, Beaumont Hospital, Dublin, Ireland, Sidney Kimmel Comprehensive Cancer Centre at Johns Hopkins University, USA.",2799O,Hanover Auditorium - Hall 7.2c,10/17/2025,16:00 - 16:10,Proffered Paper,Supportive and palliative care
The biggest twists in my career,Jarushka Naidoo ,"Dublin, Ireland","Beaumont RCSI Cancer Centre, Beaumont Hospital, Dublin, Ireland, Sidney Kimmel Comprehensive Cancer Centre at Johns Hopkins University, USA.",,Erfurt Auditorium - CityCube A,10/17/2025,14:15 - 15:15,Young Oncologists Session,The biggest twists in my career
"Efficacy and safety of ponsegromab in patients with cancer-associated cachexia: Results from the open-label extension of a randomized, placebo-controlled, Phase 2 study",Jeffrey Crawford ,"Durham, United States of America, NC","The Department of Medicine, Duke Cancer Institute, Durham, NC 27710, USA.",LBA102,Hanover Auditorium - Hall 7.2c,10/17/2025,17:00 - 17:10,Proffered Paper,Supportive and palliative care
Discussion led by Chair,Jessica C. Hassel ,"Heidelberg, Germany","Department of Dermatology, University Hospital Heidelberg Dermatological Clinic Centre, Heidelberg, Germany.",,Dortmund Auditorium - Hall 7.1a,10/17/2025,16:35 - 17:00,Challenge Your Expert,What is today’s best systemic treatment option for patients with ocular (uveal) melanoma?
KN026 in combination with chemotherapy for previously treated HER2 positive gastric or gastroesophageal carcinomas (GC/GEJC): Interim analysis of KC-WISE,Jianming Xu ,"Beijing, China","Department of Oncology, The Fifth Medical Center, Chinese PLA General Hospital, Beijing, China. jmxu2003@163.com.",LBA78,Hamburg Auditorium - CityCube A,10/17/2025,15:00 - 15:10,Proffered Paper,"GI tumours, upper digestive"
Disitamab Vedotin plus Tislelizumab as Nephron-Sparing Therapy for High-Risk Upper Tract Urothelial Carcinoma: The Phase II DISTINCT-I Trial,Jiwei Huang ,"Shanghai, China","Department of Urology, Renji Hospital, School of Medicine, Shanghai Jiao Tong University, Shanghai, China.",3071MO,Karlsruhe Auditorium - Hall 5.2,10/17/2025,16:35 - 16:40,Mini Oral Session,"GU tumours, renal & urothelial"
Exploring c-Met Protein as a Target in Gastrointestinal Cancer,John H. Strickler ,"Durham, United States of America","Duke Cancer Institute, Duke University, Durham, NC, USA.",,Flensburg Auditorium - Hall 23,10/17/2025,18:00 - 19:30,Industry-Sponsored Symposium,ADC Innovations in Targeting c-Met Protein
Adjuvant ribociclib (RIB) plus nonsteroidal aromatase inhibitor (NSAI) in patients (pts) with HR+/HER2− early breast cancer (EBC): NATALEE 5-year outcomes,John P. Crown ,"Dublin, Ireland","Department of Medical Oncology, St Vincent's University Hospital, Dublin, Ireland.",LBA14,Munich Auditorium - CityCube B,10/17/2025,15:00 - 15:10,Proffered Paper,"Breast cancer, early stage"
Career path: Clinician scientist,Jon Zugazagoitia ,"Madrid, Spain","H12O-CNIO Lung Cancer Clinical Research Unit, Health Research Institute Hospital 12 de Octubre (imas12)/Spanish National Cancer Research Center (CNIO), Madrid, Spain.",,Erfurt Auditorium - CityCube A,10/17/2025,16:00 - 16:00,Young Oncologists Session,Young Oncologists Mentorship session
Lenvatinib plus Pembrolizumab and Chemotherapy vs Pembrolizumab and Chemotherapy in Untreated Metastatic Esophageal Squamous Cell Carcinoma: The Randomized Phase 3 LEAP-014 Study,Jong-Mu Sun ,"Seoul, Republic of Korea","Division of Hematology-Oncology, Department of Medicine, Seoul, Republic of Korea.",LBA79,Hamburg Auditorium - CityCube A,10/17/2025,14:40 - 14:50,Proffered Paper,"GI tumours, upper digestive"
Genome instability and mutation,Jos Jonkers ,"Amsterdam, Netherlands","Division of Molecular Pathology, Oncode Institute, The Netherlands Cancer Institute, Amsterdam",,Koblenz Auditorium - Hall 5.2,10/17/2025,16:00 - 16:20,Educational Session,The hallmarks of pre-cancer
"Event-free survival (EFS) with pathological outcomes in MATTERHORN: a randomised, Phase 3 study of durvalumab (D) plus 5-fluorouracil, leucovorin, oxaliplatin and docetaxel (FLOT) in resectable gastric/gastroesophageal junction (G/GEJ) adenocarcinoma",Josep Tabernero ,"Barcelona, Spain","Vall d'Hebron Hospital Campus and Institute of Oncology (VHIO), UVic-UCC, IOB-Quirón, Barcelona, Spain.",LBA81,Hamburg Auditorium - CityCube A,10/17/2025,14:00 - 14:10,Proffered Paper,"GI tumours, upper digestive"
Individualising Patient Pathways: The Evolving HER2+ MBC Treatment Landscape,Joseph Gligorov ,"Paris, France","Department of Oncology, Sorbonne University, Tenon Hospital, AP-HP, Paris, France.",,Solingen Auditorium - Hall 23,10/17/2025,18:00 - 19:30,Industry-Sponsored Symposium,Spotlight on Strategic Sequencing in HER2+ Metastatic Breast Cancer
AI in precision oncology of liver cancer,Julien Calderaro ,"Creteil, France","Department of Pathology, Groupe Hospitalier Henri Mondor, Créteil, France.",,Hanover Auditorium - Hall 7.2c,10/17/2025,14:45 - 15:00,Educational Session,"AI-based image biomarkers in oncology, radiology and pathology"
Translational analyses of T-cell phenotypes and their association with clinical efficacy in the first-in-human (FIH) trial of JNJ-78278343 (pasritamig) in metastatic castration-resistant prostate cancer (mCRPC),Karen Autio ,"New York, United States of America","Department of Medicine, Memorial Sloan Kettering Cancer Center",2385MO,Heidelberg Auditorium - Hall 6.2,10/17/2025,14:40 - 14:45,Mini Oral Session,"GU tumours, prostate, penile and testis"
PROC-The Changing Tide in Diagnosis and Treatment,Kathleen N. Moore ,"Oklahoma City, United States of America","Stephenson Oklahoma Cancer Center at the University of Oklahoma Health Sciences Center, OK.",,Karlsruhe Auditorium - Hall 5.2,10/17/2025,10:15 - 11:45,Industry-Sponsored Symposium,AbbVie - How to PROC - Breaking the Wall of Platinum-Resistance in Ovarian Cancer
"Phase 1b/2 Trial of Ipilimumab, Nivolumab, and Ciforadenant (Adenosine A2a Receptor Antagonist) in First-line Advanced Renal Cell Carcinoma (RCC), a Kidney Cancer Research Consortium Study.",Kathryn Beckermann ,"Chattanooga, United States of America","Greco-Hainsworth Center for Cancer Research, Nashville, TN, USA.",2596MO,Karlsruhe Auditorium - Hall 5.2,10/17/2025,17:05 - 17:10,Mini Oral Session,"GU tumours, renal & urothelial"
Novel immunotherapy,Kenichi Harano ,"Kashiwa, Japan, Kanagawa","Department of Medical Oncology, National Cancer Center Hospital East, Kashiwa, Japan.",,Hamburg Auditorium - CityCube A,10/17/2025,16:30 - 16:45,Symposium,How to treat ovarian cancer patients post PARPi therapy?
Combinations of cell death modulators and other therapies,Kevin J. Harrington ,"Sutton, United Kingdom","The Institute of Cancer Research, London, England, UK.",,Bremen Auditorium - Hall 6.2,10/17/2025,16:40 - 17:00,Symposium,Refining strategies to boost immunotherapeutic effectiveness in HNSCC
Systemic treatment,Kevin M. Kalinsky ,"Atlanta, United States of America","Winship Cancer Institute, Emory University, Atlanta, GA.",,Nuremberg Auditorium - Hall 5.2,10/17/2025,16:45 - 17:05,Multidisciplinary Session,"What to de-escalate and for which breast patients? De-escalation in breast surgery, radiation and systemic treatment"
Invited Discussant,Kjetil Boye ,"Oslo, Norway","Department of Oncology, Oslo University Hospital, Oslo, Norway. pbk@ous-hf.no.",,Essen Auditorium - Hall 7.2a,10/17/2025,17:08 - 17:18,Mini Oral Session,Sarcoma
Unlocking the Potential of c-Met Protein Targeting in NSCLC,Kristof Cuppens ,"Hasselt, Belgium","Department of Pulmonology and Thoracic Oncology, Jessa Hospital, Hasselt, Belgium.",,Flensburg Auditorium - Hall 23,10/17/2025,18:00 - 19:30,Industry-Sponsored Symposium,ADC Innovations in Targeting c-Met Protein
Panel Discussion and Q&A,Kristof Cuppens ,"Hasselt, Belgium","Department of Pulmonology and Thoracic Oncology, Jessa Hospital, Hasselt, Belgium.",,Flensburg Auditorium - Hall 23,10/17/2025,18:00 - 19:30,Industry-Sponsored Symposium,ADC Innovations in Targeting c-Met Protein
Results from a Phase 1 expansion cohort of solnerstotug (pH-selective anti-VISTA antibody) combined with cemiplimab in patients with advanced solid tumors resistant to prior PD-(L)1 therapy,Kyriakos P. Papadopoulos ,"San Antonio, United States of America","Clinical Research, START, TX.",1521MO,Nuremberg Auditorium - Hall 5.2,10/17/2025,15:00 - 15:05,Mini Oral Session,Investigational immunotherapy
Invited Discussant,Laurence Albiges ,"Villejuif, France","Cancer Committee of the French Association of Urology (CCAFU), France, Department of Medical Oncology, Gustave Roussy Cancer Campus, Paris-Saclay University, Villejuif, France.",,Karlsruhe Auditorium - Hall 5.2,10/17/2025,17:15 - 17:25,Mini Oral Session,"GU tumours, renal & urothelial"
Strategic Treatment Approaches in 1L Therapy of aRCC Across Histologies,Laurence Albiges ,"Villejuif, France","Cancer Committee of the French Association of Urology (CCAFU), France, Department of Medical Oncology, Gustave Roussy Cancer Campus, Paris-Saclay University, Villejuif, France.",,Solingen Auditorium - Hall 23,10/17/2025,10:15 - 11:45,Industry-Sponsored Symposium,"A NEW ERA OF CARE - EXPERTS PITCH, AUDIENCE PICKS"
